"R#","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"24","Obi Toppin","SF,PF","NYK","16","11.8","0.446  (1.80/4.10)  (i) -0.0942673200 (i)","0.698  (0.40/0.60)  (i) -0.2213097300 (i)","0.5 ngood (i) -1.1747255787 (i)","4.6 ngood (i) -1.1896074379 (i)","2.5 bavg (i) -0.9888263139 (i)","0.5 ngood (i) -1.0025070709 (i)","0.2 ngood (i) -1.4059854375 (i)","0.4  (i) -0.2223671987 (i)","0.6 good (i) -0.9142558080 (i)","-6.07"
"25","Paul Reed","SF","PHI","5","11.3","0.409  (1.80/4.40) bavg (i) -0.4042689300 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.0 ngood (i) -1.7086917508 (i)","3.6 ngood (i) -1.3364725537 (i)","2.0 ngood (i) -1.1865915767 (i)","0.6 bavg (i) -0.9497435409 (i)","0.2 ngood (i) -1.4059854375 (i)","0.8 good (i) 0.6671015962 (i)","1.0 good (i) -0.4571279040 (i)","-6.28"
"26","Onyeka Okongwu","PF,C","ATL","7","10.5","0.502  (1.30/2.60)  (i) 0.2138713100 (i)","0.377  (0.40/1.10) ngood (i) -1.5903024500 (i)","0.0 ngood (i) -1.7086917508 (i)","3.0 ngood (i) -1.4245916231 (i)","3.0 bavg (i) -0.7910610511 (i)","0.3 ngood (i) -1.1080341310 (i)","0.3 ngood (i) -1.1716545313 (i)","0.9 good (i) 0.8894687949 (i)","0.6 good (i) -0.9142558080 (i)","-6.46"
"R#","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"27","Reggie Perry","PF","BRO","14","10.7","0.412  (1.50/3.60) bavg (i) -0.3118646000 (i)","0.672  (0.40/0.60) bavg (i) -0.2814814900 (i)","0.1 ngood (i) -1.5591812226 (i)","3.6 ngood (i) -1.3364725537 (i)","3.7 bavg (i) -0.5141896832 (i)","0.9 bavg (i) -0.7914529507 (i)","0.1 ngood (i) -1.6403163438 (i)","0.4  (i) -0.2223671987 (i)","0.8 good (i) -0.6856918560 (i)","-6.49"
"28","CJ Elleby","SF","POR","10","8.5","0.520  (1.30/2.50)  (i) 0.2924895000 (i)","0.667  (0.60/0.90) bavg (i) -0.3841474500 (i)","0.4 ngood (i) -1.2815188131 (i)","3.6 ngood (i) -1.3364725537 (i)","1.2 ngood (i) -1.5030159971 (i)","0.3 ngood (i) -1.1080341310 (i)","0.3 ngood (i) -1.1716545313 (i)","0.3 bavg (i) -0.4447343975 (i)","0.2 vgood (i) -1.3713837120 (i)","-6.59"
"29","R.J. Hampton","PG","DEN","16","6.9","0.444  (0.80/1.70)  (i) -0.0380050100 (i)","1.000  (0.10/0.10)  (i) 0.0336554000 (i)","0.2 ngood (i) -1.5057846054 (i)","1.8 ngood (i) -1.6008297621 (i)","1.8 ngood (i) -1.2656976818 (i)","0.5 ngood (i) -1.0025070709 (i)","0.3 ngood (i) -1.1716545313 (i)","0.1 bavg (i) -0.8894687949 (i)","0.5 vgood (i) -1.0285377840 (i)","-7.18"
"30","Daniel Oturu","C","LAC","10","4.5","0.600  (0.90/1.50)  (i) 0.4042689300 (i)","1.000  (0.20/0.20)  (i) 0.0883879100 (i)","0.0 ngood (i) -1.7086917508 (i)","2.0 ngood (i) -1.5714567389 (i)","1.4 ngood (i) -1.4239098920 (i)","0.4 ngood (i) -1.0552706010 (i)","0.0 ngood (i) -1.8746472500 (i)","0.3 bavg (i) -0.4447343975 (i)","0.2 vgood (i) -1.3713837120 (i)","-7.24"
"31","Cassius Winston","PG","WAS","6","7.3","0.401  (0.70/1.70)  (i) -0.1699047300 (i)","1.000  (0.30/0.30)  (i) 0.1900340000 (i)","0.5 ngood (i) -1.1747255787 (i)","2.2 ngood (i) -1.5420837158 (i)","0.7 ngood (i) -1.7007812599 (i)","1.0 bavg (i) -0.7386894207 (i)","0.0 ngood (i) -1.8746472500 (i)","0.2 bavg (i) -0.6671015962 (i)","0.2 vgood (i) -1.3713837120 (i)","-7.34"
"32","Saben Lee","PG","DET","8","8.7","0.360  (0.60/1.80) bavg (i) -0.3129824000 (i)","0.800  (1.00/1.30)  (i) 0.0594918600 (i)","0.0 ngood (i) -1.7086917508 (i)","2.3 ngood (i) -1.5273972042 (i)","0.4 ngood (i) -1.8194404176 (i)","1.0 bavg (i) -0.7386894207 (i)","0.5 bavg (i) -0.7029927188 (i)","0.1 bavg (i) -0.8894687949 (i)","0.6 good (i) -0.9142558080 (i)","-7.41"
"33","Sam Merrill","SG","MIL","9","6.4","0.396  (0.40/1.10)  (i) -0.1184861900 (i)","1.000  (0.20/0.20)  (i) 0.1040257700 (i)","0.4 ngood (i) -1.2388015194 (i)","1.6 ngood (i) -1.6302027853 (i)","1.1 ngood (i) -1.5425690497 (i)","1.1 bavg (i) -0.6859258906 (i)","0.1 ngood (i) -1.6403163438 (i)","0.0 ngood (i) -1.1118359937 (i)","0.3 vgood (i) -1.2571017360 (i)","-7.55"
"34","Brodric Thomas","SG","HOU","4","6.3","0.286  (0.50/1.80) bavg (i) -0.5551711600 (i)","0.714  (1.30/1.80) bavg (i) -0.3994453600 (i)","0.3 ngood (i) -1.4417086648 (i)","2.5 ngood (i) -1.4980241810 (i)","1.0 ngood (i) -1.5821221022 (i)","1.0 bavg (i) -0.7386894207 (i)","0.3 ngood (i) -1.1716545313 (i)","0.3 bavg (i) -0.4447343975 (i)","1.0 good (i) -0.4571279040 (i)","-7.72"
"35","Josh Green","SG,SF","DAL","17","12.6","0.472  (1.00/2.10)  (i) 0.0592431000 (i)","0.538  (0.40/0.70) bavg (i) -0.5796207100 (i)","0.1 ngood (i) -1.5805398695 (i)","2.5 ngood (i) -1.4980241810 (i)","2.2 ngood (i) -1.1074854716 (i)","0.6 bavg (i) -0.9497435409 (i)","0.2 ngood (i) -1.4059854375 (i)","0.1 bavg (i) -0.8894687949 (i)","0.6 good (i) -0.9142558080 (i)","-7.72"
"36","Jahmi'us Ramsey","SG","SAC","4","4.2","0.500  (0.50/1.00)  (i) 0.0875605500 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.3 ngood (i) -1.4417086648 (i)","1.3 ngood (i) -1.6742623200 (i)","1.0 ngood (i) -1.5821221022 (i)","0.3 ngood (i) -1.1080341310 (i)","0.0 ngood (i) -1.8746472500 (i)","0.3 bavg (i) -0.4447343975 (i)","0.3 vgood (i) -1.2571017360 (i)","-7.79"
"37","Aaron Nesmith","SG,SF","BOS","10","11.9","0.324  (1.20/3.70) bavg (i) -0.9221802800 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.9 bavg (i) -0.7475526410 (i)","3.3 ngood (i) -1.3805320884 (i)","1.5 ngood (i) -1.3843568395 (i)","0.5 ngood (i) -1.0025070709 (i)","0.0 ngood (i) -1.8746472500 (i)","0.2 bavg (i) -0.6671015962 (i)","0.7 good (i) -0.7999738320 (i)","-7.85"
"38","Elijah Hughes","SG","UTA","6","4.8","0.332  (0.80/2.50) bavg (i) -0.5831160200 (i)","0.746  (0.50/0.70)  (i) -0.1220433100 (i)","0.5 ngood (i) -1.1747255787 (i)","2.7 ngood (i) -1.4686511579 (i)","0.7 ngood (i) -1.7007812599 (i)","0.5 ngood (i) -1.0025070709 (i)","0.2 ngood (i) -1.4059854375 (i)","0.2 bavg (i) -0.6671015962 (i)","0.7 good (i) -0.7999738320 (i)","-7.92"
"39","Zeke Nnaji","PF","DEN","11","3.9","0.529  (0.80/1.60)  (i) 0.2123809100 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.5 ngood (i) -1.2281221959 (i)","2.1 ngood (i) -1.5567702274 (i)","0.5 ngood (i) -1.7798873650 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.1 bavg (i) -0.8894687949 (i)","0.0 vgood (i) -1.5999476640 (i)","-8.05"
"R#","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"40","Udoka Azubuike","C","UTA","12","4.3","0.569  (0.30/0.60)  (i) 0.1307819300 (i)","0.660  (0.30/0.50) bavg (i) -0.2549651200 (i)","0.0 ngood (i) -1.7086917508 (i)","1.0 ngood (i) -1.7183218547 (i)","1.1 ngood (i) -1.5425690497 (i)","0.0 ngood (i) -1.2663247211 (i)","0.1 ngood (i) -1.6403163438 (i)","0.3 bavg (i) -0.4447343975 (i)","0.3 vgood (i) -1.2571017360 (i)","-8.13"
"41","Devon Dotson","PG,SG","CHI","1","10.5","0.500  (2.00/4.00)  (i) 0.3111194100 (i)","0.000   (0.00/0.00)  (i) -0.0679907000 (i)","0.0 ngood (i) -1.7086917508 (i)","4.0 ngood (i) -1.2777265074 (i)","1.0 ngood (i) -1.5821221022 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.0 vgood (i) -1.5999476640 (i)","-8.18"
"42","Killian Hayes","PG,SG","DET","7","21.4","0.277  (1.90/6.70) ngood (i) -2.2721031800 (i)","0.483  (0.10/0.30) bavg (i) -0.3511719600 (i)","0.7 bavg (i) -0.9504597864 (i)","4.6 ngood (i) -1.1896074379 (i)","1.1 ngood (i) -1.5425690497 (i)","3.6 good (i) 0.6331623606 (i)","0.3 ngood (i) -1.1716545313 (i)","0.0 ngood (i) -1.1118359937 (i)","2.4 bavg (i) 1.1428197600 (i)","-8.24"
"43","Tre Jones","PG","SAS","9","2.9","0.504  (0.70/1.30)  (i) 0.1214669800 (i)","1.000  (0.60/0.60)  (i) 0.3698694000 (i)","0.1 ngood (i) -1.5912191930 (i)","2.0 ngood (i) -1.5714567389 (i)","0.4 ngood (i) -1.8194404176 (i)","0.1 ngood (i) -1.2135611911 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.2 vgood (i) -1.3713837120 (i)","-8.35"
"44","Sean McDermott","SG","MEM","3","13.8","0.288  (0.70/2.30) bavg (i) -0.7355086400 (i)","1.000  (0.70/0.70)  (i) 0.4558776400 (i)","0.3 ngood (i) -1.3562740772 (i)","2.3 ngood (i) -1.5273972042 (i)","1.0 ngood (i) -1.5821221022 (i)","1.0 bavg (i) -0.7386894207 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","1.0 good (i) -0.4571279040 (i)","-8.36"
"45","Malachi Flynn","PG","TOR","13","8.5","0.283  (0.90/3.00) bavg (i) -0.9743440200 (i)","0.484  (0.20/0.30) bavg (i) -0.3695294500 (i)","0.4 ngood (i) -1.3028774600 (i)","2.2 ngood (i) -1.5420837158 (i)","0.7 ngood (i) -1.7007812599 (i)","1.2 bavg (i) -0.6331623606 (i)","0.3 ngood (i) -1.1716545313 (i)","0.0 ngood (i) -1.1118359937 (i)","0.3 vgood (i) -1.2571017360 (i)","-8.49"
"46","Tyrell Terry","PG","DAL","11","5.4","0.310  (0.50/1.50) bavg (i) -0.3912280000 (i)","0.333  (0.10/0.30) bavg (i) -0.4687958700 (i)","0.0 ngood (i) -1.7086917508 (i)","1.0 ngood (i) -1.7183218547 (i)","0.5 ngood (i) -1.7798873650 (i)","0.5 ngood (i) -1.0025070709 (i)","0.5 bavg (i) -0.7029927188 (i)","0.0 ngood (i) -1.1118359937 (i)","0.2 vgood (i) -1.3713837120 (i)","-8.54"
"47","Cassius Stanley","SG","IND","8","3.2","0.284  (0.30/0.90) bavg (i) -0.2753499900 (i)","0.794  (0.50/0.60)  (i) -0.0173376300 (i)","0.1 ngood (i) -1.5698605461 (i)","1.1 ngood (i) -1.7036353431 (i)","0.4 ngood (i) -1.8194404176 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.3 bavg (i) -0.4447343975 (i)","0.1 vgood (i) -1.4856656880 (i)","-8.60"
"48","Nick Richards","C","CHA","8","2.9","0.507  (0.40/0.80)  (i) 0.0782456000 (i)","0.840  (0.60/0.80)  (i) 0.1104848900 (i)","0.0 ngood (i) -1.7086917508 (i)","1.4 ngood (i) -1.6595758084 (i)","0.8 ngood (i) -1.6612282074 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.1 vgood (i) -1.4856656880 (i)","-8.72"
"49","Jalen Smith","PF","PHX","7","6.9","0.354  (0.90/2.40) bavg (i) -0.4672380100 (i)","0.000  (0.00/0.30) bavg (i) -0.8271068600 (i)","0.3 ngood (i) -1.3989913710 (i)","2.0 ngood (i) -1.5714567389 (i)","1.4 ngood (i) -1.4239098920 (i)","0.3 ngood (i) -1.1080341310 (i)","0.0 ngood (i) -1.8746472500 (i)","0.3 bavg (i) -0.4447343975 (i)","0.1 vgood (i) -1.4856656880 (i)","-8.74"
"50","Nico Mannion","PG","GSW","6","6.0","0.230  (0.50/2.20) bavg (i) -0.9151009200 (i)","0.254  (0.20/0.70) ngood (i) -1.2438898400 (i)","0.3 ngood (i) -1.3562740772 (i)","1.5 ngood (i) -1.6448892968 (i)","1.3 ngood (i) -1.4634629446 (i)","2.0  (i) -0.2110541202 (i)","0.3 ngood (i) -1.1716545313 (i)","0.0 ngood (i) -1.1118359937 (i)","0.3 vgood (i) -1.2571017360 (i)","-8.80"
"51","Vernon Carey Jr.","C","CHA","3","2.4","0.330  (0.30/1.00)  (i) -0.2291478300 (i)","0.493  (0.30/0.70) bavg (i) -0.6999642500 (i)","0.0 ngood (i) -1.7086917508 (i)","1.0 ngood (i) -1.7183218547 (i)","1.0 ngood (i) -1.5821221022 (i)","0.3 ngood (i) -1.1080341310 (i)","0.0 ngood (i) -1.8746472500 (i)","0.3 bavg (i) -0.4447343975 (i)","0.0 vgood (i) -1.5999476640 (i)","-8.97"
"52","Robert Woodard II","SG","SAC","6","3.2","0.546  (1.00/1.80)  (i) 0.3077660300 (i)","0.000  (0.00/0.30) bavg (i) -0.9318125300 (i)","0.2 ngood (i) -1.5271432523 (i)","2.2 ngood (i) -1.5420837158 (i)","1.3 ngood (i) -1.4634629446 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.2 vgood (i) -1.3713837120 (i)","-9.07"
"R#","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"53","Tyler Bey","SF","DAL","4","3.1","0.400  (0.50/1.30)  (i) -0.1266833500 (i)","0.500  (0.50/1.00) bavg (i) -0.9858651400 (i)","0.0 ngood (i) -1.7086917508 (i)","1.5 ngood (i) -1.6448892968 (i)","0.8 ngood (i) -1.6612282074 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.3 bavg (i) -0.4447343975 (i)","0.0 vgood (i) -1.5999476640 (i)","-9.31"
"54","Jalen Harris","SG","TOR","2","2.2","0.000  (0.00/0.00)  (i) 0.0130409300 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.0 ngood (i) -1.7086917508 (i)","0.0 ngood (i) -1.8651869705 (i)","0.5 ngood (i) -1.7798873650 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.5 vgood (i) -1.0285377840 (i)","-9.40"
"55","Ashton Hagans","PG","MIN","2","2.0","0.000  (0.00/0.00)  (i) 0.0130409300 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.0 ngood (i) -1.7086917508 (i)","0.0 ngood (i) -1.8651869705 (i)","0.0 ngood (i) -1.9776526278 (i)","0.0 ngood (i) -1.2663247211 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.5 vgood (i) -1.0285377840 (i)","-9.60"
"56","Skylar Mays","PG,SG","ATL","6","2.7","0.000  (0.00/1.00) bavg (i) -0.8439346800 (i)","1.000  (0.30/0.30)  (i) 0.1900340000 (i)","0.0 ngood (i) -1.7086917508 (i)","0.3 ngood (i) -1.8211274358 (i)","0.3 ngood (i) -1.8589934701 (i)","0.2 ngood (i) -1.1607976610 (i)","0.0 ngood (i) -1.8746472500 (i)","0.0 ngood (i) -1.1118359937 (i)","0.0 vgood (i) -1.5999476640 (i)","-9.79"
